2022-02-17
7821   2021-11-17   inurl:/admin/login.php intitle:("Iniciar sesion" OR "Login")   Diego Bardalez Plaza   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7817   2021-11-16   intitle:"Login" intext:"cam"   Yash Singh   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7816   2021-11-16   intext:"Real-time IP Camera Monitoring System" intext:"ActiveX Mode (For IE Browser)"   Yash Singh   Various Online Devices   This category contains things like printers, video cameras, and all sorts of cool things found on the web with Google.
7818   2021-11-16   intitle:"Secure Access Service" inurl:"/dana-na/auth/url_default/welcome.cgi"   Mugdha Bansode   Various Online Devices   This category contains things like printers, video cameras, and all sorts of cool things found on the web with Google.
7785   2021-11-15   inurl:console/login.jsp   Md Anzaruddin   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7811   2021-11-15   intitle:"index of" "*.yaml"   Priyanshu Choudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7790   2021-11-15   site:*.ng intitle:index of   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7800   2021-11-15   intitle:"index of" site:gov.in   Arindam Saha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7798   2021-11-15   Fwd: intitle:"Schneider Electric Telecontrol - Industrial Web Control" intext:"Xflow "   Mugdha Bansode   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7799   2021-11-15   intitle"index of" "php"   Sabyasachi Paul   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7793   2021-11-15   site:*.in inurl:jira login   Krishna Agarwal   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7787   2021-11-15   site:mail.* intitle:Dashboard   Soriful Islam Shoaib   Sensitive Online Shopping Info   Examples of queries that can reveal online shopping infomation like customer data, suppliers, orders, credit card numbers, credit card info, etc
7805   2021-11-15   intitle:"index of" "wp-inc"   Chirag Prajapati   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7801   2021-11-15   site:*.github.io intext:cheatsheet+offensive+pentesting   Dharmendra Yadav   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7809   2021-11-15   site:rentry.co intext:"password"   Anirudh Kumar Kushwaha   Files Containing Passwords   PASSWORDS!!! Google found PASSWORDS!
